"MAG","classification","reason","lineage","lineage.scores","superkingdom","confidence","phylum","class","order","family","genus","species","Depth","category","n_contigs","contig_bp","gap_pct","ctg_N50","ctg_L50","ctg_N90","ctg_L90","ctg_max","gc_avg","gc_std","size_mbp","Dataset","Complete","Single","Duplicated","Fragmented","Missing","n_markers","Scores_bacteria_odb10","Scores_archaea_odb10","Scores_eukaryota_odb10"
"13m_Bin_85-contigs","taxid assigned","based on 3878/4340 ORFs","1;131567;2;1224;1553900;213481;404130;2053517","1.00;1.00;0.99;0.91;0.80;0.68;0.67;0.66","Bacteria","0.99","Proteobacteria: 0.91","Oligoflexia: 0.80","Bdellovibrionales: 0.68",NA,NA,"Bdellovibrionales bacterium: 0.66","13m","CB",1509,3163524,0,494,2235,1233,1278,9246,0.39733,0.02162,3.163524,"bacteria_odb10","48.3","43.5","4.8","16.9","34.8","124","C:48.3%[S:43.5%,D:4.8%],F:16.9%,M:34.8%,n:124","C:8.3%[S:6.2%,D:2.1%],F:5.2%,M:86.5%,n:194","C:3.5%[S:2.7%,D:0.8%],F:1.2%,M:95.3%,n:255"
"13m_Bin_86-contigs","taxid assigned","based on 1020/1611 ORFs","1;131567;2","1.00;0.62;0.55","Bacteria","0.55","no support","no support","no support","no support","no support","no support","13m","CB",164,1148554,0,16,17708,92,2480,95483,0.31908,0.03005,1.148554,"bacteria_odb10","1.6","1.6","0.0","0.8","97.6","124","C:1.6%[S:1.6%,D:0.0%],F:0.8%,M:97.6%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.5%,M:99.5%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
"13m_Bin_87-contigs","taxid assigned","based on 9835/11818 ORFs","1;131567;2;1783270;68336","1.00;0.99;0.96;0.43;0.43","Bacteria","0.96","no support","no support","no support","no support","no support","no support","13m","CB",4840,9388256,0,1439,2056,3962,1141,15616,0.34394,0.03977,9.388256,"bacteria_odb10","75.9","44.4","31.5","13.7","10.4","124","C:75.9%[S:44.4%,D:31.5%],F:13.7%,M:10.4%,n:124","C:13.4%[S:9.8%,D:3.6%],F:6.7%,M:79.9%,n:194","C:3.6%[S:2.4%,D:1.2%],F:3.1%,M:93.3%,n:255"
"13m_Bin_89-contigs","taxid assigned","based on 11291/12119 ORFs","1;131567;2;1783270;68336;976;200643","1.00;1.00;0.99;0.88;0.88;0.86;0.33","Bacteria","0.99","Bacteroidetes: 0.86","Bacteroidia: 0.33","no support","no support","no support","no support","13m","CB",795,14770328,0,122,30314,514,7563,187892,0.41009,0.02072,14.770328,"bacteria_odb10","100.0","22.6","77.4","0.0","0.0","124","C:100.0%[S:22.6%,D:77.4%],F:0.0%,M:0.0%,n:124","C:23.2%[S:4.6%,D:18.6%],F:3.1%,M:73.7%,n:194","C:4.3%[S:0.4%,D:3.9%],F:2.4%,M:93.3%,n:255"
"13m_Bin_95-contigs","taxid assigned","based on 1506/1564 ORFs","1;131567;2;1783257;74201;414999;415000;134623","1.00;1.00;1.00;0.99;0.98;0.96;0.49;0.49","Bacteria","1.00","Verrucomicrobia: 0.98","Opitutae: 0.96","Opitutales: 0.49","Opitutaceae: 0.49","no support","no support","13m","CB",615,1197356,0,192,2059,505,1158,9766,0.56178,0.02623,1.197356,"bacteria_odb10","36.3","36.3","0.0","17.7","46.0","124","C:36.3%[S:36.3%,D:0.0%],F:17.7%,M:46.0%,n:124","C:4.1%[S:4.1%,D:0.0%],F:3.1%,M:92.8%,n:194","C:0.8%[S:0.8%,D:0.0%],F:1.2%,M:98.0%,n:255"
"13m_Bin_98-contigs","taxid assigned (1/2)","based on 695/5941 ORFs","1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656","1.00;0.97;0.56;0.46;0.45;0.45;0.40;0.33;0.32;0.31;0.31","Eukaryota","0.56","Arthropoda: 0.31","no support","no support","no support","no support","no support","13m","CB",5764,8490599,0,2205,1452,4947,1073,6205,0.34551,0.02905,8.490599,"mollicutes_odb10","4.0","4.0","0.0","0.0","96.0","151","C:5.6%[S:5.6%,D:0.0%],F:3.2%,M:91.2%,n:124","C:1.0%[S:1.0%,D:0.0%],F:1.0%,M:98.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.4%,M:99.6%,n:255"
"15_5m_Bin_1-contigs","taxid assigned","based on 504/920 ORFs","1;131567;2","1.00;0.75;0.69","Bacteria","0.69","no support","no support","no support","no support","no support","no support","15_5m","CB",294,724754,0,85,2881,233,1364,12564,0.43765,0.0559,0.724754,"archaea_odb10","1.0","0.5","0.5","0.5","98.5","194","C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:124","C:1.0%[S:0.5%,D:0.5%],F:0.5%,M:98.5%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.4%,M:99.2%,n:255"
"15_5m_Bin_10-contigs","taxid assigned","based on 2860/2960 ORFs","1;131567;2;1783270;68336;976;37452;1898104","1.00;1.00;1.00;0.98;0.98;0.97;0.66;0.55","Bacteria","1.00","Bacteroidetes: 0.97",NA,NA,NA,NA,"Bacteroidetes bacterium: 0.55","15_5m","CB",333,3230399,0,70,13719,224,4400,72601,0.36455,0.02077,3.230399,"bacteria_odb10","79.8","79.0","0.8","7.3","12.9","124","C:79.8%[S:79.0%,D:0.8%],F:7.3%,M:12.9%,n:124","C:14.4%[S:13.9%,D:0.5%],F:3.1%,M:82.5%,n:194","C:3.9%[S:3.9%,D:0.0%],F:2.4%,M:93.7%,n:255"
"15_5m_Bin_100-contigs","taxid assigned","based on 1478/1670 ORFs","1;131567;2;1224;1236","1.00;0.99;0.98;0.91;0.77","Bacteria","0.98","Proteobacteria: 0.91","Gammaproteobacteria: 0.77","no support","no support","no support","no support","15_5m","CB",501,1311034,0,147,3002,395,1475,9445,0.41508,0.02594,1.311034,"bacteria_odb10","26.6","25.8","0.8","16.9","56.5","124","C:26.6%[S:25.8%,D:0.8%],F:16.9%,M:56.5%,n:124","C:3.6%[S:3.1%,D:0.5%],F:3.6%,M:92.8%,n:194","C:0.8%[S:0.8%,D:0.0%],F:0.4%,M:98.8%,n:255"
"15_5m_Bin_101-contigs","taxid assigned","based on 2307/2422 ORFs","1;131567;2;1783257;203682;666505","1.00;1.00;1.00;0.91;0.91;0.47","Bacteria","1.00","Planctomycetes: 0.91","Phycisphaerae: 0.47","no support","no support","no support","no support","15_5m","CB",655,2280721,0,163,4479,488,1717,26368,0.52545,0.02182,2.280721,"bacteria_odb10","57.3","56.5","0.8","22.6","20.1","124","C:57.3%[S:56.5%,D:0.8%],F:22.6%,M:20.1%,n:124","C:12.4%[S:12.4%,D:0.0%],F:5.7%,M:81.9%,n:194","C:2.0%[S:2.0%,D:0.0%],F:2.0%,M:96.0%,n:255"
"15_5m_Bin_102-contigs","taxid assigned","based on 1849/1885 ORFs","1;131567;2;1224","1.00;1.00;1.00;0.92","Bacteria","1.00","Proteobacteria: 0.92","no support","no support","no support","no support","no support","15_5m","CB",585,1335362,0,159,2415,465,1236,18802,0.28839,0.03257,1.335362,"alphaproteobacteria_odb10","54.2","41.0","13.2","16.2","29.6","432","C:65.3%[S:52.4%,D:12.9%],F:16.1%,M:18.6%,n:124","C:11.3%[S:9.8%,D:1.5%],F:4.1%,M:84.6%,n:194","C:4.4%[S:2.4%,D:2.0%],F:1.2%,M:94.4%,n:255"
"15_5m_Bin_107-contigs","taxid assigned","based on 6814/6933 ORFs","1;131567;2;1783272;201174;1760","1.00;1.00;0.99;0.96;0.95;0.82","Bacteria","0.99","Actinobacteria: 0.95","Actinomycetia: 0.82","no support","no support","no support","no support","15_5m","CB",1900,5726062,0,362,3765,1412,1362,44245,0.46215,0.01752,5.726062,"bacteria_odb10","96.8","12.1","84.7","2.4","0.8","124","C:96.8%[S:12.1%,D:84.7%],F:2.4%,M:0.8%,n:124","C:18.6%[S:2.6%,D:16.0%],F:3.1%,M:78.3%,n:194","C:4.0%[S:1.6%,D:2.4%],F:2.0%,M:94.0%,n:255"
"15_5m_Bin_108-contigs","taxid assigned","based on 25560/27443 ORFs","1;131567;2;1783270;68336;976;200643","1.00;1.00;0.99;0.72;0.72;0.70;0.33","Bacteria","0.99","Bacteroidetes: 0.70","Bacteroidia: 0.33","no support","no support","no support","no support","15_5m","CB",6328,29024312,0,1867,5081,4962,2665,36475,0.41281,0.03499,29.024312,"bacteria_odb10","99.2","11.3","87.9","0.8","0.0","124","C:99.2%[S:11.3%,D:87.9%],F:0.8%,M:0.0%,n:124","C:24.8%[S:5.7%,D:19.1%],F:4.6%,M:70.6%,n:194","C:6.2%[S:3.1%,D:3.1%],F:2.7%,M:91.1%,n:255"
"15_5m_Bin_11-contigs","taxid assigned","based on 3932/3991 ORFs","1;131567;2;1224;28216","1.00;0.99;0.99;0.95;0.92","Bacteria","0.99","Proteobacteria: 0.95","Betaproteobacteria: 0.92","no support","no support","no support","no support","15_5m","CB",1064,3294748,0,236,4118,790,1418,20719,0.52432,0.02649,3.294748,"burkholderiales_odb10","77.9","71.4","6.5","10.3","11.8","688","C:75.8%[S:67.7%,D:8.1%],F:17.7%,M:6.5%,n:124","C:15.4%[S:14.4%,D:1.0%],F:4.1%,M:80.5%,n:194","C:5.1%[S:4.7%,D:0.4%],F:2.7%,M:92.2%,n:255"
"15_5m_Bin_112-contigs","taxid assigned","based on 2610/2699 ORFs","1;131567;2;1783257;203682","1.00;1.00;1.00;0.96;0.96","Bacteria","1.00","Planctomycetes: 0.96","no support","no support","no support","no support","no support","15_5m","CB",821,2518386,0,205,3818,622,1539,37835,0.599,0.01839,2.518386,"bacteria_odb10","66.1","66.1","0.0","12.9","21.0","124","C:66.1%[S:66.1%,D:0.0%],F:12.9%,M:21.0%,n:124","C:15.5%[S:15.5%,D:0.0%],F:5.2%,M:79.3%,n:194","C:2.4%[S:2.4%,D:0.0%],F:2.0%,M:95.6%,n:255"
"15_5m_Bin_113-contigs","taxid assigned","based on 2572/3863 ORFs","1;131567;2;2323;1783234;1783273;363464;1046947;2044595","1.00;0.77;0.73;0.55;0.55;0.53;0.51;0.51;0.49","Bacteria","0.73","Candidatus Gracilibacteria: 0.51",NA,NA,NA,NA,"Candidatus Gracilibacteria bacterium: 0.49","15_5m","CB",465,4002840,0,83,14198,294,3704,77356,0.25499,0.03533,4.00284,"mollicutes_odb10","43.7","39.1","4.6","4.0","52.3","151","C:49.2%[S:49.2%,D:0.0%],F:17.7%,M:33.1%,n:124","C:8.2%[S:8.2%,D:0.0%],F:1.5%,M:90.3%,n:194","C:2.0%[S:1.6%,D:0.4%],F:2.0%,M:96.0%,n:255"
"15_5m_Bin_115-contigs","taxid assigned","based on 4378/5280 ORFs","1;131567;2;1224;1236;135613;1046;13724","1.00;1.00;0.99;0.92;0.85;0.82;0.81;0.44","Bacteria","0.99","Proteobacteria: 0.92","Gammaproteobacteria: 0.85","Chromatiales: 0.82","Chromatiaceae: 0.81","Thiocystis: 0.44","no support","15_5m","CB",486,5344920,0,58,21545,274,4534,117232,0.60071,0.04627,5.34492,"chromatiales_odb10","98.3","98.0","0.3","0.3","1.4","652","C:100.0%[S:99.2%,D:0.8%],F:0.0%,M:0.0%,n:124","C:21.1%[S:21.1%,D:0.0%],F:4.6%,M:74.3%,n:194","C:4.3%[S:3.1%,D:1.2%],F:1.6%,M:94.1%,n:255"
"15_5m_Bin_116-contigs","taxid assigned","based on 10198/11388 ORFs","1;131567;2;1783257","1.00;1.00;0.99;0.75","Bacteria","0.99","no support","no support","no support","no support","no support","no support","15_5m","CB",787,13780931,0,134,28792,527,7260,215492,0.53996,0.0281,13.780931,"bacteria_odb10","93.6","22.6","71.0","1.6","4.8","124","C:93.6%[S:22.6%,D:71.0%],F:1.6%,M:4.8%,n:124","C:20.6%[S:5.7%,D:14.9%],F:5.2%,M:74.2%,n:194","C:5.4%[S:2.7%,D:2.7%],F:0.8%,M:93.8%,n:255"
"15_5m_Bin_117-contigs","taxid assigned","based on 22312/23814 ORFs","1;131567;2;1783270;68336;976;200643","1.00;1.00;1.00;0.88;0.88;0.86;0.42","Bacteria","1.00","Bacteroidetes: 0.86","Bacteroidia: 0.42","no support","no support","no support","no support","15_5m","CB",1739,29168097,0,276,26527,1137,7027,220060,0.40767,0.02191,29.168097,"bacteria_odb10","100.0","4.0","96.0","0.0","0.0","124","C:100.0%[S:4.0%,D:96.0%],F:0.0%,M:0.0%,n:124","C:25.3%[S:2.1%,D:23.2%],F:4.1%,M:70.6%,n:194","C:6.3%[S:2.0%,D:4.3%],F:2.4%,M:91.3%,n:255"
"15_5m_Bin_119-contigs","taxid assigned","based on 1229/1870 ORFs","1;131567;2;1224;28211","1.00;0.83;0.78;0.35;0.30","Bacteria","0.78","Proteobacteria: 0.35","Alphaproteobacteria: 0.30","no support","no support","no support","no support","15_5m","CB",552,1408505,0,149,2892,432,1334,25943,0.33991,0.046,1.408505,"archaea_odb10","3.6","3.1","0.5","1.0","95.4","194","C:3.2%[S:2.4%,D:0.8%],F:0.8%,M:96.0%,n:124","C:3.6%[S:3.1%,D:0.5%],F:1.0%,M:95.4%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
"15_5m_Bin_12-contigs","taxid assigned","based on 2181/2791 ORFs","1;131567;2;1224;68525;28221","1.00;0.99;0.97;0.70;0.41;0.41","Bacteria","0.97","Proteobacteria: 0.70","Deltaproteobacteria: 0.41","no support","no support","no support","no support","15_5m","CB",1244,2091390,0,428,1718,1049,1107,7395,0.70865,0.02439,2.09139,"bacteria_odb10","14.5","14.5","0.0","16.9","68.6","124","C:14.5%[S:14.5%,D:0.0%],F:16.9%,M:68.6%,n:124","C:2.1%[S:2.1%,D:0.0%],F:4.1%,M:93.8%,n:194","C:0.4%[S:0.4%,D:0.0%],F:1.2%,M:98.4%,n:255"
"15_5m_Bin_121-contigs","taxid assigned","based on 907/967 ORFs","1;131567;2;1783272;1239;526524;526525;128827;544447;2049044","1.00;0.99;0.99;0.87;0.86;0.83;0.83;0.83;0.83;0.83","Bacteria","0.99","Firmicutes: 0.86","Erysipelotrichia: 0.83","Erysipelotrichales: 0.83","Erysipelotrichaceae: 0.83",NA,"Erysipelotrichaceae bacterium: 0.83","15_5m","CB",350,791967,0,100,2445,281,1261,12984,0.36998,0.02884,0.791967,"bacteria_odb10","5.6","5.6","0.0","5.6","88.8","124","C:5.6%[S:5.6%,D:0.0%],F:5.6%,M:88.8%,n:124","C:2.1%[S:2.1%,D:0.0%],F:1.5%,M:96.4%,n:194","C:0.8%[S:0.8%,D:0.0%],F:0.4%,M:98.8%,n:255"
"15_5m_Bin_125-contigs","taxid assigned","based on 2488/2534 ORFs","1;131567;2;1783270;68336;976;1853228;1853229;563835;569836;1869212","1.00;1.00;1.00;0.99;0.99;0.99;0.94;0.33;0.33;0.31;0.31","Bacteria","1.00","Bacteroidetes: 0.99","Chitinophagia: 0.94","Chitinophagales: 0.33","Chitinophagaceae: 0.33",NA,"Chitinophagaceae bacterium: 0.31","15_5m","CB",510,2589643,0,84,8250,333,2067,60163,0.35423,0.01907,2.589643,"bacteroidetes_odb10","80.3","80.3","0.0","7.2","12.5","402","C:72.6%[S:72.6%,D:0.0%],F:13.7%,M:13.7%,n:124","C:13.9%[S:12.9%,D:1.0%],F:2.6%,M:83.5%,n:194","C:3.1%[S:3.1%,D:0.0%],F:0.8%,M:96.1%,n:255"
"15_5m_Bin_128-contigs","taxid assigned","based on 12709/13464 ORFs","1;131567;2;1783257;74201;414999","1.00;1.00;1.00;0.83;0.80;0.49","Bacteria","1.00","Verrucomicrobia: 0.80","Opitutae: 0.49","no support","no support","no support","no support","15_5m","CB",805,16765325,0,131,34117,503,9141,226573,0.62928,0.02587,16.765325,"bacteria_odb10","87.9","15.3","72.6","5.6","6.5","124","C:87.9%[S:15.3%,D:72.6%],F:5.6%,M:6.5%,n:124","C:17.1%[S:5.2%,D:11.9%],F:5.2%,M:77.7%,n:194","C:4.3%[S:1.6%,D:2.7%],F:2.4%,M:93.3%,n:255"
"15_5m_Bin_129-contigs","taxid assigned","based on 6920/7672 ORFs","1;131567;2;1783270;68336;976","1.00;1.00;0.99;0.80;0.80;0.78","Bacteria","0.99","Bacteroidetes: 0.78","no support","no support","no support","no support","no support","15_5m","CB",699,10102803,0,147,19066,485,6683,212397,0.46703,0.02737,10.102803,"bacteroidetes_odb10","98.2","40.0","58.2","0.2","1.6","402","C:98.3%[S:54.8%,D:43.5%],F:1.6%,M:0.1%,n:124","C:21.7%[S:12.4%,D:9.3%],F:3.6%,M:74.7%,n:194","C:4.3%[S:2.7%,D:1.6%],F:2.7%,M:93.0%,n:255"
"15_5m_Bin_130-contigs","taxid assigned","based on 3111/3342 ORFs","1;131567;2;1224;1553900;213481","1.00;1.00;1.00;0.96;0.47;0.30","Bacteria","1.00","Proteobacteria: 0.96","Oligoflexia: 0.47","Bdellovibrionales: 0.30","no support","no support","no support","15_5m","CB",853,2603383,0,279,3283,685,1902,13878,0.36162,0.03212,2.603383,"bacteria_odb10","30.6","26.6","4.0","8.9","60.5","124","C:30.6%[S:26.6%,D:4.0%],F:8.9%,M:60.5%,n:124","C:9.8%[S:8.8%,D:1.0%],F:2.6%,M:87.6%,n:194","C:2.8%[S:2.4%,D:0.4%],F:1.2%,M:96.0%,n:255"
"15_5m_Bin_131-contigs","taxid assigned","based on 5054/5761 ORFs","1;131567;2;1224;28216","1.00;0.83;0.82;0.67;0.50","Bacteria","0.82","Proteobacteria: 0.67","Betaproteobacteria: 0.50","no support","no support","no support","no support","15_5m","CB",647,5503844,0,92,15241,391,3568,69174,0.56227,0.04932,5.503844,"burkholderiales_odb10","75.0","71.4","3.6","2.5","22.5","688","C:83.0%[S:67.7%,D:15.3%],F:3.2%,M:13.8%,n:124","C:12.8%[S:11.3%,D:1.5%],F:1.5%,M:85.7%,n:194","C:3.5%[S:3.1%,D:0.4%],F:2.0%,M:94.5%,n:255"
"15_5m_Bin_132-contigs","taxid assigned","based on 10076/10973 ORFs","1;131567;2;1783270;68336;976;200643","1.00;1.00;0.99;0.78;0.78;0.74;0.34","Bacteria","0.99","Bacteroidetes: 0.74","Bacteroidia: 0.34","no support","no support","no support","no support","15_5m","CB",1553,13235715,0,342,10958,1133,4203,75099,0.3453,0.02633,13.235715,"bacteria_odb10","98.4","22.6","75.8","1.6","0.0","124","C:98.4%[S:22.6%,D:75.8%],F:1.6%,M:0.0%,n:124","C:21.7%[S:6.2%,D:15.5%],F:4.1%,M:74.2%,n:194","C:6.7%[S:5.1%,D:1.6%],F:0.8%,M:92.5%,n:255"
"15_5m_Bin_135-contigs","taxid assigned (1/2)","based on 181/795 ORFs","1;131567;2759;2698737;33634;2696291;2836","1.00;0.97;0.55;0.41;0.41;0.39;0.39","Eukaryota","0.55","Bacillariophyta: 0.39","no support","no support","no support","no support","no support","15_5m","CB",361,757542,0,103,2193,291,1171,14884,0.4639,0.05999,0.757542,"Check_logs","-","-","-","-","-","-","-","-","-"
"15_5m_Bin_136-contigs","taxid assigned (2/2)","based on 3820/3858 ORFs","1;131567;2;1783272;201174;1760","1.00;1.00;1.00;0.38;0.38;0.38","Bacteria","1.00","Actinobacteria: 0.38","Actinomycetia: 0.38","no support","no support","no support","no support","15_5m","CB",892,3119121,0,183,4700,641,1544,24268,0.37411,0.02241,3.119121,"bacteria_odb10","96.0","34.7","61.3","2.4","1.6","124","C:96.0%[S:34.7%,D:61.3%],F:2.4%,M:1.6%,n:124","C:20.1%[S:9.8%,D:10.3%],F:4.6%,M:75.3%,n:194","C:5.5%[S:3.5%,D:2.0%],F:2.0%,M:92.5%,n:255"
"15_5m_Bin_138-contigs","taxid assigned","based on 10143/10317 ORFs","1;131567;2;1224;28216;80840","1.00;0.99;0.99;0.85;0.69;0.36","Bacteria","0.99","Proteobacteria: 0.85","Betaproteobacteria: 0.69","Burkholderiales: 0.36","no support","no support","no support","15_5m","CB",1925,9159377,0,453,6020,1417,2407,35889,0.60004,0.03761,9.159377,"burkholderiales_odb10","93.9","21.5","72.4","3.2","2.9","688","C:94.3%[S:29.0%,D:65.3%],F:4.0%,M:1.7%,n:124","C:16.5%[S:3.6%,D:12.9%],F:4.1%,M:79.4%,n:194","C:5.1%[S:2.4%,D:2.7%],F:2.7%,M:92.2%,n:255"
"15_5m_Bin_14-contigs","taxid assigned","based on 3504/5329 ORFs","1;131567;2;1224","1.00;0.84;0.80;0.31","Bacteria","0.80","Proteobacteria: 0.31","no support","no support","no support","no support","no support","15_5m","CB",694,5032768,0,116,11046,461,3243,78335,0.31896,0.04666,5.032768,"archaea_odb10","3.1","0.5","2.6","0.5","96.4","194","C:2.4%[S:0.8%,D:1.6%],F:0.8%,M:96.8%,n:124","C:3.1%[S:0.5%,D:2.6%],F:0.5%,M:96.4%,n:194","C:0.4%[S:0.0%,D:0.4%],F:0.4%,M:99.2%,n:255"
"15_5m_Bin_140-contigs","taxid assigned","based on 8948/9351 ORFs","1;131567;2;1783270;68336;1090;191410;191411;191412;274493;1091;2685105;1095","1.00;1.00;1.00;0.96;0.96;0.95;0.94;0.94;0.94;0.79;0.50;0.32;0.31","Bacteria","1.00","Chlorobi: 0.95","Chlorobia: 0.94","Chlorobiales: 0.94","Chlorobiaceae: 0.94","Chlorobium: 0.50","Chlorobium sp.: 0.31","15_5m","CB",748,9565328,0,105,22521,465,5367,167847,0.4784,0.02923,9.565328,"bacteria_odb10","95.2","9.7","85.5","4.0","0.8","124","C:95.2%[S:9.7%,D:85.5%],F:4.0%,M:0.8%,n:124","C:21.1%[S:1.0%,D:20.1%],F:3.6%,M:75.3%,n:194","C:5.1%[S:2.0%,D:3.1%],F:2.0%,M:92.9%,n:255"
"15_5m_Bin_143-contigs","taxid assigned","based on 781/1203 ORFs","1;131567;2;49928;1869227","1.00;0.69;0.65;0.37;0.37","Bacteria","0.65",NA,NA,NA,NA,NA,"bacterium: 0.37","15_5m","CB",261,1051903,0,23,6723,175,1478,140941,0.49381,0.04082,1.051903,"bacteria_odb10","0.8","0.0","0.8","1.6","97.6","124","C:0.8%[S:0.0%,D:0.8%],F:1.6%,M:97.6%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
"15_5m_Bin_144-contigs","taxid assigned","based on 3770/5215 ORFs","1;131567;2;1783270;68336;976","1.00;0.85;0.81;0.38;0.38;0.35","Bacteria","0.81","Bacteroidetes: 0.35","no support","no support","no support","no support","no support","15_5m","CB",1316,4105794,0,206,4366,959,1313,44808,0.36482,0.05433,4.105794,"bacteria_odb10","27.4","24.2","3.2","5.6","67.0","124","C:27.4%[S:24.2%,D:3.2%],F:5.6%,M:67.0%,n:124","C:3.1%[S:3.1%,D:0.0%],F:2.1%,M:94.8%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.4%,M:99.6%,n:255"
"15_5m_Bin_145-contigs","taxid assigned","based on 7358/8943 ORFs","1;131567;2;2323;1783234;1783273","1.00;1.00;0.97;0.51;0.51;0.40","Bacteria","0.97","no support","no support","no support","no support","no support","no support","15_5m","CB",581,9198804,0,115,22140,395,6959,166186,0.3145,0.02777,9.198804,"mycoplasmatales_odb10","60.9","7.5","53.4","1.7","37.4","174","C:78.2%[S:15.3%,D:62.9%],F:6.5%,M:15.3%,n:124","C:15.4%[S:7.2%,D:8.2%],F:4.6%,M:80.0%,n:194","C:2.0%[S:1.6%,D:0.4%],F:1.6%,M:96.4%,n:255"
"15_5m_Bin_146-contigs","taxid assigned","based on 3014/3140 ORFs","1;131567;2;1783270;68336;976;768503;768507;89373;312278","1.00;1.00;0.99;0.98;0.98;0.97;0.87;0.87;0.86;0.79","Bacteria","0.99","Bacteroidetes: 0.97","Cytophagia: 0.87","Cytophagales: 0.87","Cytophagaceae: 0.86","Emticicia: 0.79","no support","15_5m","CB",1247,2509126,0,388,2164,1017,1184,11300,0.36109,0.02621,2.509126,"bacteria_odb10","31.4","30.6","0.8","18.5","50.1","124","C:31.4%[S:30.6%,D:0.8%],F:18.5%,M:50.1%,n:124","C:4.6%[S:4.6%,D:0.0%],F:5.7%,M:89.7%,n:194","C:1.2%[S:1.2%,D:0.0%],F:2.0%,M:96.8%,n:255"
"15_5m_Bin_147-contigs","taxid assigned","based on 2732/3079 ORFs","1;131567;2;1783270;68336;976","1.00;1.00;0.96;0.70;0.70;0.67","Bacteria","0.96","Bacteroidetes: 0.67","no support","no support","no support","no support","no support","15_5m","CB",1239,2434950,0,373,2066,1016,1161,13952,0.43137,0.02829,2.43495,"bacteria_odb10","39.5","39.5","0.0","24.2","36.3","124","C:39.5%[S:39.5%,D:0.0%],F:24.2%,M:36.3%,n:124","C:6.2%[S:6.2%,D:0.0%],F:6.2%,M:87.6%,n:194","C:1.6%[S:1.6%,D:0.0%],F:2.0%,M:96.4%,n:255"
"15_5m_Bin_148-contigs","taxid assigned","based on 3450/3610 ORFs","1;131567;2;1783270;68336;976","1.00;1.00;1.00;0.91;0.91;0.91","Bacteria","1.00","Bacteroidetes: 0.91","no support","no support","no support","no support","no support","15_5m","CB",1100,3399245,0,241,3836,821,1428,43336,0.42777,0.03026,3.399245,"bacteria_odb10","75.8","64.5","11.3","15.3","8.9","124","C:75.8%[S:64.5%,D:11.3%],F:15.3%,M:8.9%,n:124","C:11.8%[S:11.3%,D:0.5%],F:7.2%,M:81.0%,n:194","C:3.6%[S:2.4%,D:1.2%],F:2.4%,M:94.0%,n:255"
"15_5m_Bin_149-contigs","taxid assigned","based on 6659/6763 ORFs","1;131567;2;1783272;201174;1760","1.00;1.00;0.99;0.94;0.93;0.74","Bacteria","0.99","Actinobacteria: 0.93","Actinomycetia: 0.74","no support","no support","no support","no support","15_5m","CB",1874,5511757,0,409,3476,1417,1404,39043,0.46868,0.0181,5.511757,"bacteria_odb10","77.4","15.3","62.1","5.6","17.0","124","C:77.4%[S:15.3%,D:62.1%],F:5.6%,M:17.0%,n:124","C:17.0%[S:3.6%,D:13.4%],F:2.1%,M:80.9%,n:194","C:3.9%[S:0.4%,D:3.5%],F:2.4%,M:93.7%,n:255"
"15_5m_Bin_15-contigs","taxid assigned","based on 1246/1297 ORFs","1;131567;2;1224;68525;29547;213849","1.00;1.00;1.00;0.82;0.80;0.79;0.33","Bacteria","1.00","Proteobacteria: 0.82","Epsilonproteobacteria: 0.79","Campylobacterales: 0.33","no support","no support","no support","15_5m","CB",299,986644,0,87,3997,230,1760,14445,0.34852,0.02118,0.986644,"epsilonproteobacteria_odb10","49.3","49.1","0.2","9.6","41.1","591","C:47.6%[S:47.6%,D:0.0%],F:19.4%,M:33.0%,n:124","C:7.7%[S:7.7%,D:0.0%],F:3.1%,M:89.2%,n:194","C:0.4%[S:0.4%,D:0.0%],F:1.2%,M:98.4%,n:255"
"15_5m_Bin_150-contigs","taxid assigned","based on 2266/2413 ORFs","1;131567;2;1224;28216","1.00;0.93;0.93;0.73;0.58","Bacteria","0.93","Proteobacteria: 0.73","Betaproteobacteria: 0.58","no support","no support","no support","no support","15_5m","CB",950,1663500,0,312,1753,795,1118,14588,0.56304,0.0482,1.6635,"burkholderiales_odb10","20.4","17.3","3.1","9.2","70.4","688","C:26.6%[S:25.0%,D:1.6%],F:19.4%,M:54.0%,n:124","C:4.1%[S:4.1%,D:0.0%],F:3.6%,M:92.3%,n:194","C:1.2%[S:0.8%,D:0.4%],F:0.8%,M:98.0%,n:255"
