"MAG","classification","reason","lineage","lineage.scores","superkingdom","confidence","phylum","class","order","family","genus","species","Depth.x","category","n_contigs","contig_bp","gap_pct","ctg_N50","ctg_L50","ctg_N90","ctg_L90","ctg_max","gc_avg","gc_std","size_mbp","Dataset","Complete","Single","Duplicated","Fragmented","Missing","n_markers","Scores_bacteria_odb10","Scores_archaea_odb10","Scores_eukaryota_odb10"
"15_5m_12.fa","taxid assigned","based on 11841/17680 ORFs","1;131567;2759;33090;3041;2692248;75966;35460;35461;2511126;3071;1962113;1650286","1.00;1.00;0.98;0.98;0.97;0.96;0.91;0.89;0.89;0.82;0.54;0.39;0.39","Eukaryota","0.98","Chlorophyta: 0.97","Trebouxiophyceae: 0.91","Chlorellales: 0.89","Chlorellaceae: 0.89","Chlorella: 0.54","Chlorella desiccata (nom. nud.): 0.39","15_5m","NCB",1175,19035530,0,261,22151,818,7902,125177,0.71391,0.02854,19.03553,"chlorophyta_odb10","93.8","93.3","0.5","1.2","5","1519","C:34.7%[S:31.5%,D:3.2%],F:31.5%,M:33.8%,n:124","C:36.1%[S:34.0%,D:2.1%],F:14.4%,M:49.5%,n:194","C:81.6%[S:81.6%,D:0.0%],F:5.9%,M:12.5%,n:255"
"15_5m_120.fa","taxid assigned","based on 8040/8998 ORFs","1;131567;2;1783257;74201","1.00;1.00;1.00;0.70;0.61","Bacteria","1.00","Verrucomicrobia: 0.61","no support","no support","no support","no support","no support","15_5m","NCB",1387,11526406,0,300,11707,1000,3829,71396,0.61777,0.02074,11.526406,"bacteria_odb10","76.6","72.6","4","13.7","9.7","124","C:76.6%[S:72.6%,D:4.0%],F:13.7%,M:9.7%,n:124","C:14.9%[S:14.4%,D:0.5%],F:4.6%,M:80.5%,n:194","C:3.1%[S:3.1%,D:0.0%],F:0.8%,M:96.1%,n:255"
"15_5m_121.fa","taxid assigned","based on 8888/9600 ORFs","1;131567;2;1783270;68336;976","1.00;1.00;0.99;0.51;0.51;0.49","Bacteria","0.99","Bacteroidetes: 0.49","no support","no support","no support","no support","no support","15_5m","NCB",3534,9803118,0,1129,3043,2831,1687,28691,0.45336,0.02993,9.803118,"bacteria_odb10","66.9","37.1","29.8","11.3","21.8","124","C:66.9%[S:37.1%,D:29.8%],F:11.3%,M:21.8%,n:124","C:15.4%[S:10.8%,D:4.6%],F:3.1%,M:81.5%,n:194","C:2.0%[S:1.2%,D:0.8%],F:3.5%,M:94.5%,n:255"
"15_5m_122.fa","taxid assigned","based on 8306/8778 ORFs","1;131567;2;1224;68525;28221;213118;213121","1.00;1.00;1.00;0.82;0.40;0.40;0.34;0.31","Bacteria","1.00","Proteobacteria: 0.82","Deltaproteobacteria: 0.40","Desulfobacterales: 0.34","Desulfobulbaceae: 0.31","no support","no support","15_5m","NCB",1278,8874189,0,243,8573,943,3316,95086,0.51372,0.03974,8.874189,"bacteria_odb10","91.1","55.6","35.5","3.2","5.7","124","C:91.1%[S:55.6%,D:35.5%],F:3.2%,M:5.7%,n:124","C:17.0%[S:9.3%,D:7.7%],F:4.1%,M:78.9%,n:194","C:3.6%[S:2.0%,D:1.6%],F:2.4%,M:94.0%,n:255"
"15_5m_125.fa","taxid assigned","based on 7831/8782 ORFs","1;131567;2;1224;1553900","1.00;0.99;0.98;0.72;0.35","Bacteria","0.98","Proteobacteria: 0.72","Oligoflexia: 0.35","no support","no support","no support","no support","15_5m","NCB",3078,6539027,0,952,2316,2493,1249,13878,0.37343,0.03422,6.539027,"bacteria_odb10","49.2","38.7","10.5","16.1","34.7","124","C:49.2%[S:38.7%,D:10.5%],F:16.1%,M:34.7%,n:124","C:17.0%[S:13.4%,D:3.6%],F:3.1%,M:79.9%,n:194","C:3.2%[S:2.0%,D:1.2%],F:3.9%,M:92.9%,n:255"
"15_5m_126.fa","taxid assigned","based on 2452/2563 ORFs","1;131567;2;1224;28211;204458;451208;2282150","1.00;0.98;0.98;0.90;0.79;0.75;0.46;0.46","Bacteria","0.98","Proteobacteria: 0.90","Alphaproteobacteria: 0.79","Caulobacterales: 0.75",NA,NA,"Caulobacterales bacterium: 0.46","15_5m","NCB",982,1810531,0,310,1937,812,1122,9717,0.68996,0.02546,1.810531,"bacteria_odb10","26.6","26.6","0","16.9","56.5","124","C:26.6%[S:26.6%,D:0.0%],F:16.9%,M:56.5%,n:124","C:4.1%[S:4.1%,D:0.0%],F:5.2%,M:90.7%,n:194","C:2.7%[S:2.7%,D:0.0%],F:1.6%,M:95.7%,n:255"
"15_5m_129.fa","taxid assigned","based on 4759/7214 ORFs","1;131567;2","1.00;0.93;0.88","Bacteria","0.88","no support","no support","no support","no support","no support","no support","15_5m","NCB",3602,4840651,0,1423,1268,3136,1039,8334,0.36055,0.04257,4.840651,"bacteria_odb10","29.8","26.6","3.2","29.8","40.4","124","C:29.8%[S:26.6%,D:3.2%],F:29.8%,M:40.4%,n:124","C:7.7%[S:7.2%,D:0.5%],F:5.2%,M:87.1%,n:194","C:1.2%[S:1.2%,D:0.0%],F:1.6%,M:97.2%,n:255"
"15_5m_131.fa","taxid assigned","based on 3893/4834 ORFs","1;131567;2;57723;533205;574975;574976;1951928;2052165*","1.00;0.99;0.98;0.89;0.79;0.79;0.79;0.73;0.73","Bacteria","0.98","Acidobacteria: 0.89","Holophagae: 0.79","Holophagales: 0.79","Holophagaceae: 0.79",NA,"Holophagaceae bacterium*: 0.73","15_5m","NCB",295,4805193,0,43,31444,162,6497,233739,0.66452,0.04575,4.805193,"acidobacteria_odb10","86.4","83.7","2.7","1.2","12.4","601","C:89.5%[S:88.7%,D:0.8%],F:7.3%,M:3.2%,n:124","C:17.0%[S:17.0%,D:0.0%],F:2.6%,M:80.4%,n:194","C:3.2%[S:2.4%,D:0.8%],F:1.6%,M:95.2%,n:255"
"15_5m_132.fa","taxid assigned","based on 1781/1959 ORFs","1;131567;2;1783257","1.00;1.00;0.99;0.81","Bacteria","0.99","no support","no support","no support","no support","no support","no support","15_5m","NCB",861,1712808,0,297,2116,712,1283,6633,0.62265,0.03283,1.712808,"bacteria_odb10","27.4","26.6","0.8","12.9","59.7","124","C:27.4%[S:26.6%,D:0.8%],F:12.9%,M:59.7%,n:124","C:4.1%[S:4.1%,D:0.0%],F:3.6%,M:92.3%,n:194","C:1.2%[S:1.2%,D:0.0%],F:1.6%,M:97.2%,n:255"
"15_5m_133.fa","taxid assigned","based on 2750/2882 ORFs","1;131567;2;1783270;68336;976;768503;768507;89373;312278","1.00;1.00;0.99;0.97;0.97;0.97;0.88;0.88;0.87;0.76","Bacteria","0.99","Bacteroidetes: 0.97","Cytophagia: 0.88","Cytophagales: 0.88","Cytophagaceae: 0.87","Emticicia: 0.76","no support","15_5m","NCB",1116,2352621,0,361,2285,909,1267,10851,0.36461,0.02528,2.352621,"bacteria_odb10","29.8","29.8","0","14.5","55.7","124","C:29.8%[S:29.8%,D:0.0%],F:14.5%,M:55.7%,n:124","C:4.6%[S:4.6%,D:0.0%],F:3.6%,M:91.8%,n:194","C:1.2%[S:1.2%,D:0.0%],F:2.0%,M:96.8%,n:255"
"15_5m_134.fa","taxid assigned","based on 2107/2244 ORFs","1;131567;2;1783270;68336;976;200643;1970189;1471398","1.00;1.00;0.99;0.84;0.84;0.81;0.51;0.39;0.39","Bacteria","0.99","Bacteroidetes: 0.81","Bacteroidia: 0.51","Marinilabiliales: 0.39","Prolixibacteraceae: 0.39","no support","no support","15_5m","NCB",933,2309915,0,291,2754,746,1447,10823,0.47191,0.03168,2.309915,"bacteria_odb10","23.3","18.5","4.8","7.3","69.4","124","C:23.3%[S:18.5%,D:4.8%],F:7.3%,M:69.4%,n:124","C:5.7%[S:5.2%,D:0.5%],F:1.0%,M:93.3%,n:194","C:1.2%[S:1.2%,D:0.0%],F:1.6%,M:97.2%,n:255"
"15_5m_135.fa","taxid assigned","based on 6467/7389 ORFs","1;131567;2;1224;28216","1.00;0.98;0.97;0.49;0.39","Bacteria","0.97","Proteobacteria: 0.49","Betaproteobacteria: 0.39","no support","no support","no support","no support","15_5m","NCB",2988,5165397,0,1011,1749,2507,1124,8199,0.42243,0.03026,5.165397,"burkholderiales_odb10","47.9","38.7","9.2","14.2","37.9","688","C:71.8%[S:47.6%,D:24.2%],F:17.7%,M:10.5%,n:124","C:14.4%[S:10.8%,D:3.6%],F:8.2%,M:77.4%,n:194","C:3.9%[S:3.5%,D:0.4%],F:2.4%,M:93.7%,n:255"
"15_5m_136.fa","taxid assigned (1/2)","based on 5335/5782 ORFs","1;131567;2;1224;1553900;213481;213483;958","1.00;1.00;0.99;0.85;0.48;0.46;0.42;0.40","Bacteria","0.99","Proteobacteria: 0.85","Oligoflexia: 0.48","Bdellovibrionales: 0.46","Bdellovibrionaceae: 0.42","Bdellovibrio: 0.40","no support","15_5m","NCB",462,5922506,0,37,33152,281,4529,233142,0.40099,0.03135,5.922506,"bacteria_odb10","84.7","57.3","27.4","2.4","12.9","124","C:84.7%[S:57.3%,D:27.4%],F:2.4%,M:12.9%,n:124","C:19.1%[S:11.9%,D:7.2%],F:3.1%,M:77.8%,n:194","C:6.7%[S:5.5%,D:1.2%],F:2.4%,M:90.9%,n:255"
"15_5m_138.fa","taxid assigned","based on 5018/5134 ORFs","1;131567;2;1783272;201174","1.00;1.00;1.00;0.70;0.70","Bacteria","1.00","Actinobacteria: 0.70","no support","no support","no support","no support","no support","15_5m","NCB",1641,3800599,0,425,2591,1300,1238,26077,0.51601,0.01731,3.800599,"bacteria_odb10","87.1","28.2","58.9","8.1","4.8","124","C:87.1%[S:28.2%,D:58.9%],F:8.1%,M:4.8%,n:124","C:17.0%[S:9.8%,D:7.2%],F:5.7%,M:77.3%,n:194","C:3.6%[S:2.0%,D:1.6%],F:1.6%,M:94.8%,n:255"
"15_5m_14.fa","taxid assigned","based on 1278/1354 ORFs","1;131567;2;1783270;68336;976;768503;768507;89373;105","1.00;1.00;1.00;0.96;0.96;0.96;0.89;0.84;0.83;0.75","Bacteria","1.00","Bacteroidetes: 0.96","Cytophagia: 0.89","Cytophagales: 0.84","Cytophagaceae: 0.83","Runella: 0.75","no support","15_5m","NCB",668,1071036,0,257,1615,570,1145,4907,0.44318,0.02928,1.071036,"bacteria_odb10","8.9","8.9","0","8.1","83","124","C:8.9%[S:8.9%,D:0.0%],F:8.1%,M:83.0%,n:124","C:1.0%[S:1.0%,D:0.0%],F:2.1%,M:96.9%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.8%,M:99.2%,n:255"
"15_5m_140.fa","taxid assigned","based on 9846/11005 ORFs","1;131567;2;1783257","1.00;1.00;0.99;0.67","Bacteria","0.99","no support","no support","no support","no support","no support","no support","15_5m","NCB",879,13493344,0,159,22580,597,6948,215492,0.54516,0.03053,13.493344,"bacteria_odb10","89.5","15.3","74.2","4","6.5","124","C:89.5%[S:15.3%,D:74.2%],F:4.0%,M:6.5%,n:124","C:22.2%[S:8.8%,D:13.4%],F:4.6%,M:73.2%,n:194","C:3.9%[S:0.8%,D:3.1%],F:1.6%,M:94.5%,n:255"
"15_5m_143.fa","taxid assigned (1/2)","based on 7118/7450 ORFs","1;131567;2;1783270;68336;976;117743;200644;49546;237","1.00;1.00;0.99;0.90;0.89;0.88;0.38;0.37;0.35;0.33","Bacteria","0.99","Bacteroidetes: 0.88","Flavobacteriia: 0.38","Flavobacteriales: 0.37","Flavobacteriaceae: 0.35","Flavobacterium: 0.33","no support","15_5m","NCB",334,9326593,0,50,51027,195,12001,358291,0.34884,0.02071,9.326593,"bacteria_odb10","100","20.2","79.8","0","0","124","C:100.0%[S:20.2%,D:79.8%],F:0.0%,M:0.0%,n:124","C:19.6%[S:7.2%,D:12.4%],F:3.1%,M:77.3%,n:194","C:4.4%[S:2.4%,D:2.0%],F:2.7%,M:92.9%,n:255"
"15_5m_145.fa","taxid assigned","based on 2155/2253 ORFs","1;131567;2;1783270;68336;976;200643;171549","1.00;1.00;1.00;0.89;0.89;0.89;0.53;0.41","Bacteria","1.00","Bacteroidetes: 0.89","Bacteroidia: 0.53","Bacteroidales: 0.41","no support","no support","no support","15_5m","NCB",1004,1843425,0,353,1951,836,1187,5671,0.37986,0.02833,1.843425,"bacteroidales_odb10","30","29.4","0.6","12.4","57.6","541","C:36.3%[S:35.5%,D:0.8%],F:16.9%,M:46.8%,n:124","C:6.7%[S:6.7%,D:0.0%],F:5.2%,M:88.1%,n:194","C:0.8%[S:0.8%,D:0.0%],F:1.6%,M:97.6%,n:255"
"15_5m_148.fa","taxid assigned","based on 10998/11554 ORFs","1;131567;2;1783257;74201;414999;415000;134623","1.00;1.00;1.00;0.87;0.85;0.57;0.36;0.35","Bacteria","1.00","Verrucomicrobia: 0.85","Opitutae: 0.57","Opitutales: 0.36","Opitutaceae: 0.35","no support","no support","15_5m","NCB",737,14239364,0,101,38736,417,7382,226573,0.63481,0.02189,14.239364,"bacteria_odb10","85.5","11.3","74.2","5.6","8.9","124","C:85.5%[S:11.3%,D:74.2%],F:5.6%,M:8.9%,n:124","C:15.9%[S:4.6%,D:11.3%],F:4.1%,M:80.0%,n:194","C:3.9%[S:1.2%,D:2.7%],F:2.4%,M:93.7%,n:255"
"15_5m_149.fa","taxid assigned","based on 2772/2877 ORFs","1;131567;2;1783257;203682","1.00;1.00;1.00;0.96;0.96","Bacteria","1.00","Planctomycetes: 0.96","no support","no support","no support","no support","no support","15_5m","NCB",886,2659399,0,218,3731,672,1491,37835,0.59896,0.01865,2.659399,"bacteria_odb10","71","71","0","12.9","16.1","124","C:71.0%[S:71.0%,D:0.0%],F:12.9%,M:16.1%,n:124","C:16.0%[S:16.0%,D:0.0%],F:4.6%,M:79.4%,n:194","C:2.4%[S:2.0%,D:0.4%],F:2.0%,M:95.6%,n:255"
"15_5m_15.fa","taxid assigned","based on 8423/9096 ORFs","1;131567;2;1783270;68336;976;200643","1.00;1.00;0.99;0.83;0.83;0.79;0.36","Bacteria","0.99","Bacteroidetes: 0.79","Bacteroidia: 0.36","no support","no support","no support","no support","15_5m","NCB",1234,11044743,0,260,12002,883,4208,75099,0.34056,0.02088,11.044743,"bacteria_odb10","100","24.2","75.8","0","0","124","C:100.0%[S:24.2%,D:75.8%],F:0.0%,M:0.0%,n:124","C:22.2%[S:6.2%,D:16.0%],F:4.6%,M:73.2%,n:194","C:6.3%[S:4.7%,D:1.6%],F:1.2%,M:92.5%,n:255"
"15_5m_151.fa","taxid assigned","based on 1385/1444 ORFs","1;131567;2;1224;68525;29547;213849","1.00;1.00;1.00;0.82;0.80;0.79;0.34","Bacteria","1.00","Proteobacteria: 0.82","Epsilonproteobacteria: 0.79","Campylobacterales: 0.34","no support","no support","no support","15_5m","NCB",355,1084138,0,98,3804,272,1576,14445,0.34651,0.02243,1.084138,"epsilonproteobacteria_odb10","50.6","50.3","0.3","10.8","38.6","591","C:47.6%[S:47.6%,D:0.0%],F:21.0%,M:31.4%,n:124","C:7.7%[S:7.7%,D:0.0%],F:3.6%,M:88.7%,n:194","C:0.4%[S:0.4%,D:0.0%],F:1.2%,M:98.4%,n:255"
"15_5m_152.fa","taxid assigned","based on 2793/2894 ORFs","1;131567;2;1783272;1239;526524;526525;128827;544447;2049044","1.00;1.00;1.00;0.98;0.97;0.93;0.93;0.93;0.93;0.93","Bacteria","1.00","Firmicutes: 0.97","Erysipelotrichia: 0.93","Erysipelotrichales: 0.93","Erysipelotrichaceae: 0.93",NA,"Erysipelotrichaceae bacterium: 0.93","15_5m","NCB",321,2756241,0,5,108757,135,2150,454244,0.38695,0.02329,2.756241,"firmicutes_odb10","87.1","78.4","8.7","0.9","12","218","C:92.8%[S:85.5%,D:7.3%],F:1.6%,M:5.6%,n:124","C:18.1%[S:16.0%,D:2.1%],F:1.5%,M:80.4%,n:194","C:3.9%[S:2.7%,D:1.2%],F:1.2%,M:94.9%,n:255"
"15_5m_153.fa","taxid assigned","based on 3844/3972 ORFs","1;131567;2;1783257;74201","1.00;1.00;1.00;0.92;0.91","Bacteria","1.00","Verrucomicrobia: 0.91","no support","no support","no support","no support","no support","15_5m","NCB",988,3811740,0,201,4958,712,1764,58523,0.62679,0.02077,3.81174,"bacteria_odb10","69.3","51.6","17.7","14.5","16.2","124","C:69.3%[S:51.6%,D:17.7%],F:14.5%,M:16.2%,n:124","C:10.3%[S:7.2%,D:3.1%],F:7.2%,M:82.5%,n:194","C:2.0%[S:1.6%,D:0.4%],F:2.0%,M:96.0%,n:255"
"15_5m_155.fa","taxid assigned","based on 1336/2815 ORFs","1;131567;2","1.00;0.89;0.83","Bacteria","0.83","no support","no support","no support","no support","no support","no support","15_5m","NCB",678,1490619,0,209,2421,548,1286,8778,0.27357,0.02108,1.490619,"bacteria_odb10","3.2","2.4","0.8","4","92.8","124","C:3.2%[S:2.4%,D:0.8%],F:4.0%,M:92.8%,n:124","C:1.0%[S:1.0%,D:0.0%],F:0.5%,M:98.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
"15_5m_156.fa","taxid assigned","based on 4070/4437 ORFs","1;131567;2;203691;203692;136","1.00;1.00;0.98;0.63;0.34;0.30","Bacteria","0.98","Spirochaetes: 0.63","Spirochaetia: 0.34","Spirochaetales: 0.30","no support","no support","no support","15_5m","NCB",199,5011517,0,33,47781,110,11585,163673,0.60715,0.03626,5.011517,"spirochaetales_odb10","93.3","93","0.3","2.6","4.1","345","C:75.0%[S:74.2%,D:0.8%],F:12.9%,M:12.1%,n:124","C:18.0%[S:17.0%,D:1.0%],F:5.2%,M:76.8%,n:194","C:4.3%[S:3.9%,D:0.4%],F:2.0%,M:93.7%,n:255"
"15_5m_159.fa","taxid assigned","based on 1687/1787 ORFs","1;131567;2;1224;68525;28221;213118;213121;231686;2053307","1.00;1.00;1.00;0.94;0.85;0.85;0.83;0.83;0.83;0.83","Bacteria","1.00","Proteobacteria: 0.94","Deltaproteobacteria: 0.85","Desulfobacterales: 0.83","Desulfobulbaceae: 0.83",NA,"Desulfobulbaceae bacterium: 0.83","15_5m","NCB",651,1617691,0,205,2822,520,1449,11967,0.55168,0.04136,1.617691,"bacteria_odb10","24.2","21.8","2.4","6.5","69.3","124","C:24.2%[S:21.8%,D:2.4%],F:6.5%,M:69.3%,n:124","C:7.7%[S:6.2%,D:1.5%],F:1.5%,M:90.8%,n:194","C:1.2%[S:1.2%,D:0.0%],F:1.6%,M:97.2%,n:255"
"15_5m_16.fa","taxid assigned","based on 8399/8704 ORFs","1;131567;2;1783272;201174;1760","1.00;1.00;0.99;0.92;0.91;0.84","Bacteria","0.99","Actinobacteria: 0.91","Actinomycetia: 0.84","no support","no support","no support","no support","15_5m","NCB",3552,6339220,0,1217,1861,2966,1149,19407,0.45715,0.01867,6.33922,"bacteria_odb10","85.5","22.6","62.9","9.7","4.8","124","C:85.5%[S:22.6%,D:62.9%],F:9.7%,M:4.8%,n:124","C:17.0%[S:4.1%,D:12.9%],F:3.6%,M:79.4%,n:194","C:3.6%[S:1.2%,D:2.4%],F:2.0%,M:94.4%,n:255"
"15_5m_160.fa","taxid assigned","based on 979/1075 ORFs","1;131567;2;1224;68525;29547;213849;72294;2321108;28196;2593671;1872629","1.00;1.00;0.98;0.75;0.74;0.73;0.66;0.45;0.42;0.35;0.34;0.33","Bacteria","0.98","Proteobacteria: 0.75","Epsilonproteobacteria: 0.73","Campylobacterales: 0.66","Campylobacteraceae: 0.45","Arcobacter: 0.35","Arcobacter sp.: 0.33","15_5m","NCB",392,736999,0,129,1915,325,1206,21738,0.30632,0.02589,0.736999,"bacteria_odb10","14.5","14.5","0","15.3","70.2","124","C:14.5%[S:14.5%,D:0.0%],F:15.3%,M:70.2%,n:124","C:5.2%[S:5.2%,D:0.0%],F:2.6%,M:92.2%,n:194","C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:255"
"15_5m_161.fa","taxid assigned","based on 10446/16058 ORFs","1;131567;2759;2698737;33634;2696291;2836;33849;33850;33851;33852;2857;303405","1.00;1.00;0.98;0.97;0.97;0.97;0.97;0.92;0.92;0.76;0.76;0.39;0.39","Eukaryota","0.98","Bacillariophyta: 0.97","Bacillariophyceae: 0.92","Bacillariales: 0.76","Bacillariaceae: 0.76","Nitzschia: 0.39","Nitzschia inconspicua: 0.39","15_5m","NCB",3749,17019758,0,1157,4989,2984,2719,20604,0.4905,0.01132,17.019758,"stramenopiles_odb10","61","61","0","8","31","100","C:22.6%[S:22.6%,D:0.0%],F:23.4%,M:54.0%,n:124","C:27.8%[S:26.8%,D:1.0%],F:11.9%,M:60.3%,n:194","C:53.7%[S:53.3%,D:0.4%],F:12.5%,M:33.8%,n:255"
"15_5m_162.fa","taxid assigned","based on 422/759 ORFs","1;131567;2","1.00;0.83;0.77","Bacteria","0.77","no support","no support","no support","no support","no support","no support","15_5m","NCB",143,593025,0,11,10993,94,1403,67042,0.36623,0.03126,0.593025,"bacteria_odb10","2.4","2.4","0","3.2","94.4","124","C:2.4%[S:2.4%,D:0.0%],F:3.2%,M:94.4%,n:124","C:1.5%[S:1.5%,D:0.0%],F:0.5%,M:98.0%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
"15_5m_163.fa","taxid assigned","based on 2490/2541 ORFs","1;131567;2;1224;28216","1.00;1.00;0.99;0.94;0.91","Bacteria","0.99","Proteobacteria: 0.94","Betaproteobacteria: 0.91","no support","no support","no support","no support","15_5m","NCB",1117,1806345,0,400,1654,946,1104,5819,0.52848,0.03464,1.806345,"bacteria_odb10","24.2","21","3.2","21.8","54","124","C:24.2%[S:21.0%,D:3.2%],F:21.8%,M:54.0%,n:124","C:4.1%[S:3.1%,D:1.0%],F:4.1%,M:91.8%,n:194","C:2.4%[S:2.0%,D:0.4%],F:2.4%,M:95.2%,n:255"
"15_5m_165.fa","taxid assigned","based on 3163/3623 ORFs","1;131567;2;1783270;68336;976","1.00;1.00;0.98;0.41;0.40;0.35","Bacteria","0.98","Bacteroidetes: 0.35","no support","no support","no support","no support","no support","15_5m","NCB",2132,2810946,0,872,1274,1862,1040,4801,0.48739,0.04175,2.810946,"bacteria_odb10","12.9","10.5","2.4","14.5","72.6","124","C:12.9%[S:10.5%,D:2.4%],F:14.5%,M:72.6%,n:124","C:4.6%[S:3.6%,D:1.0%],F:2.1%,M:93.3%,n:194","C:1.6%[S:1.6%,D:0.0%],F:1.2%,M:97.2%,n:255"
"15_5m_166.fa","taxid assigned","based on 7187/12540 ORFs","1;131567;2","1.00;0.76;0.69","Bacteria","0.69","no support","no support","no support","no support","no support","no support","15_5m","NCB",4431,9070156,0,1325,2186,3599,1185,20577,0.26395,0.03941,9.070156,"bacteria_odb10","8.9","6.5","2.4","4","87.1","124","C:8.9%[S:6.5%,D:2.4%],F:4.0%,M:87.1%,n:124","C:5.7%[S:3.6%,D:2.1%],F:1.0%,M:93.3%,n:194","C:1.2%[S:0.8%,D:0.4%],F:0.8%,M:98.0%,n:255"
"15_5m_167.fa","taxid assigned","based on 2901/4650 ORFs","1;131567;2;1783257","1.00;0.92;0.85;0.34","Bacteria","0.85","no support","no support","no support","no support","no support","no support","15_5m","NCB",2466,3566923,0,905,1358,2121,1048,36923,0.60368,0.04468,3.566923,"bacteria_odb10","20.1","17.7","2.4","18.5","61.4","124","C:20.1%[S:17.7%,D:2.4%],F:18.5%,M:61.4%,n:124","C:2.6%[S:2.6%,D:0.0%],F:4.6%,M:92.8%,n:194","C:1.2%[S:1.2%,D:0.0%],F:1.2%,M:97.6%,n:255"
"15_5m_168.fa","taxid assigned","based on 1619/3474 ORFs","1;131567;2;49928;1869227","1.00;0.70;0.60;0.40;0.40","Bacteria","0.60",NA,NA,NA,NA,NA,"bacterium: 0.40","15_5m","NCB",482,2804624,0,89,8009,335,2649,67250,0.52137,0.04186,2.804624,"archaea_odb10","1","1","0","0.5","98.5","194","C:0.8%[S:0.0%,D:0.8%],F:0.8%,M:98.4%,n:124","C:1.0%[S:1.0%,D:0.0%],F:0.5%,M:98.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
"15_5m_169.fa","taxid assigned","based on 1645/1907 ORFs","1;131567;2;2323;1783234;1783273;1794811;1752728","1.00;1.00;0.94;0.76;0.76;0.74;0.50;0.37","Bacteria","0.94","Candidatus Falkowbacteria: 0.37","no support","no support","no support","no support","no support","15_5m","NCB",267,1754228,0,4,81733,152,2031,351286,0.34263,0.01996,1.754228,"bacteria_odb10","66.9","36.3","30.6","8.1","25","124","C:66.9%[S:36.3%,D:30.6%],F:8.1%,M:25.0%,n:124","C:9.3%[S:6.7%,D:2.6%],F:3.1%,M:87.6%,n:194","C:1.6%[S:1.6%,D:0.0%],F:0.8%,M:97.6%,n:255"
"15_5m_171.fa","taxid assigned","based on 8894/9901 ORFs","1;131567;2;1783270;68336;976","1.00;1.00;0.98;0.51;0.50;0.48","Bacteria","0.98","Bacteroidetes: 0.48","no support","no support","no support","no support","no support","15_5m","NCB",1969,9568767,0,431,4972,1501,2545,141354,0.41154,0.03589,9.568767,"clostridiales_odb10","97","80.3","16.7","1.1","1.9","264","C:98.3%[S:54.8%,D:43.5%],F:0.8%,M:0.9%,n:124","C:20.1%[S:16.5%,D:3.6%],F:4.6%,M:75.3%,n:194","C:4.3%[S:3.9%,D:0.4%],F:2.4%,M:93.3%,n:255"
"15_5m_174.fa","taxid assigned","based on 5174/5636 ORFs","1;131567;2;1783270;68336;976;37452;1898104","1.00;1.00;0.99;0.89;0.89;0.87;0.49;0.47","Bacteria","0.99","Bacteroidetes: 0.87",NA,NA,NA,NA,"Bacteroidetes bacterium: 0.47","15_5m","NCB",648,8359613,0,98,22863,426,5366,155635,0.35275,0.0629,8.359613,"bacteria_odb10","97.6","95.2","2.4","2.4","0","124","C:97.6%[S:95.2%,D:2.4%],F:2.4%,M:0.0%,n:124","C:21.7%[S:18.6%,D:3.1%],F:2.6%,M:75.7%,n:194","C:5.1%[S:5.1%,D:0.0%],F:2.4%,M:92.5%,n:255"
"15_5m_175.fa","taxid assigned","based on 10836/13815 ORFs","1;131567;2;1224","1.00;0.97;0.95;0.40","Bacteria","0.95","Proteobacteria: 0.40","no support","no support","no support","no support","no support","15_5m","NCB",5941,9793530,0,2085,1655,5011,1104,11250,0.52473,0.03316,9.79353,"bacteria_odb10","47.5","30.6","16.9","25.8","26.7","124","C:47.5%[S:30.6%,D:16.9%],F:25.8%,M:26.7%,n:124","C:11.4%[S:9.3%,D:2.1%],F:4.1%,M:84.5%,n:194","C:2.4%[S:2.4%,D:0.0%],F:5.1%,M:92.5%,n:255"
"15_5m_176.fa","taxid assigned","based on 1629/1671 ORFs","1;131567;2;1783272;200795","1.00;0.99;0.99;0.80;0.78","Bacteria","0.99","Chloroflexi: 0.78","no support","no support","no support","no support","no support","15_5m","NCB",600,1202435,0,182,2143,490,1179,12126,0.63084,0.0191,1.202435,"bacteria_odb10","58.9","51.6","7.3","21.8","19.3","124","C:58.9%[S:51.6%,D:7.3%],F:21.8%,M:19.3%,n:124","C:6.2%[S:5.7%,D:0.5%],F:3.1%,M:90.7%,n:194","C:2.0%[S:2.0%,D:0.0%],F:0.8%,M:97.2%,n:255"
"15_5m_178.fa","taxid assigned","based on 1378/1391 ORFs","1;131567;2;1783270;68336;976;1853228","1.00;1.00;1.00;0.97;0.97;0.97;0.94","Bacteria","1.00","Bacteroidetes: 0.97","Chitinophagia: 0.94","no support","no support","no support","no support","15_5m","NCB",514,1112871,0,153,2307,413,1216,10388,0.35174,0.01908,1.112871,"bacteria_odb10","21","21","0","11.3","67.7","124","C:21.0%[S:21.0%,D:0.0%],F:11.3%,M:67.7%,n:124","C:6.2%[S:5.7%,D:0.5%],F:3.1%,M:90.7%,n:194","C:0.8%[S:0.8%,D:0.0%],F:1.2%,M:98.0%,n:255"
